"Product SKU","Product Name","Price","Quantity","size","tcs","tip","marka","god","baltika","naznachenie","primmenenie"
"O-02609","O-02609","20","20","19*22*1.5","","O-Ring","","","","",""
"O-02536","O-02536","20","20","19*21*1","","O-Ring","","","","",""
"O-03009","O-03009","20","20","18*26*4","","O-Ring","","","","",""
"O-02918A","O-02918A","20","20","18*24*3","","O-Ring","","","","",""
"O-02835","O-02835","20","20","18*23*2.5","","O-Ring","","","","",""
"L-10028","L-10028","80","18","22*24*11.5","7830 040 195","ПОДЖИМ (ZF)","","","","",""
"O-02741","O-02741","20","20","18*22*2","","O-Ring","","","","",""
"O-02637","O-02637","20","20","18*21*1.5","","O-Ring","","","","",""
"O-02535","O-02535","20","20","18*20*1","","O-Ring","","","","",""
"O-03008","O-03008","20","20","17*25*4","","O-Ring","","","","",""
"O-02918","O-02918","20","20","17*23*3","","O-Ring","","","","",""
"O-02831","O-02831","20","20","17*22*2.5","","O-Ring","","","","",""
"O-02715","O-02715","20","20","17*21*2","","O-Ring","","","","",""
"O-02635","O-02635","20","20","17*20*1.5","","O-Ring","","","","",""
"O-02533","O-02533","20","20","17*19*1","","O-Ring","","","","",""
"O-03007","O-03007","20","20","16*24*4","","O-Ring","","","","",""
"O-02917","O-02917","20","20","16*22*3","","O-Ring","","","","",""
"O-02828","O-02828","20","20","16*21*2.5","","O-Ring","","","","",""
"O-02739","O-02739","20","20","16*20*2","","O-Ring","","","","",""
"O-02607","O-02607","20","20","16*19*1.5","","O-Ring","","","","",""
"O-02531","O-02531","20","20","16*18*1","","O-Ring","","","","",""
"O-03006","O-03006","20","20","15*23*4","","O-Ring","","","","",""
"O-02916","O-02916","20","20","15*21*3","","O-Ring","","","","",""
"O-02816","O-02816","20","20","15*20*2.5","","O-Ring","","","","",""
"O-02737","O-02737","20","20","15*19*2","","O-Ring","","","","",""
"O-02633","O-02633","20","20","15*18*1.5","","O-Ring","","","","",""
"O-02529","O-02529","20","20","15*17*1","","O-Ring","","","","",""
"O-02914","O-02914","20","20","14*20*3","","O-Ring","","","","",""
"O-02826","O-02826","20","10","14*19*2.5","","O-Ring","","","","",""
"O-02735","O-02735","20","20","14*18*2","","O-Ring","","","","",""
"O-02631","O-02631","20","20","14*17*1.5","","O-Ring","","","","",""
"O-02527","O-02527","20","20","14*16*1","","O-Ring","","","","",""
"O-02913","O-02913","20","20","13*19*3","","O-Ring","","","","",""
"O-02813","O-02813","20","1000","13*18*2.5","","O-Ring","","","","",""
"O-02733","O-02733","20","20","13*17*2","","O-Ring","","","","",""
"O-02629","O-02629","20","20","13*16*1.5","","O-Ring","","","","",""
"O-02525","O-02525","20","20","13*15*1","","O-Ring","","","","",""
"O-02971","O-02971","100","100","120*126*3","","O-Ring","","","","",""
"O-03003","O-03003","20","20","12*20*4","","O-Ring","","","","",""
"O-02912","O-02912","20","20","12*18*3","","O-Ring","","","","",""
"O-02822","O-02822","20","20","12*17*2.5","","O-Ring","","","","",""
"O-02728","O-02728","20","20","12*16*2","","O-Ring","","","","",""
"O-02627","O-02627","20","20","12*15*1.5","","O-Ring","","","","",""
"О-02523","О-02523","20","20","12*14*1","","O-Ring","","","","",""
"O-02968A","O-02968A","80","20","115*121*3","","O-Ring","","","","",""
"O-02966","O-02966","120","20","110*116*3","","O-Ring","","","","",""
"O-02790","O-02790","120","20","110*114*2","","O-Ring","","","","",""
"O-03002","O-03002","20","20","11*19*4","","O-Ring","","","","",""
"O-02810","O-02810","20","20","11*16*2.5","","O-Ring","","","","",""
"O-02713","O-02713","20","20","11*15*2","","O-Ring","","","","",""
"O-02625","O-02625","20","20","11*14*1.5","","O-Ring","","","","",""
"O-02962A","O-02962A","100","20","105*111*3","","O-Ring","","","","",""
"O-02874B","O-02874B","100","20","105*110*2.5","","O-Ring","","","","",""
"O-02962","O-02962","100","20","104,5*110,5*3","","O-Ring","","","","",""
"O-02960","O-02960","80","20","100*106*3","","O-Ring","","","","",""
"O-02873B","O-02873B","80","20","100*105*2.5","","O-Ring","","","","",""
"O-02796A","O-02796A","80","20","100*104*2","","O-Ring","","","","",""
"O-03001","O-03001","20","20","10*18*4","","O-Ring","","","","",""
"O-02908","O-02908","20","20","10*16*3","","O-Ring","","","","",""
