"Product SKU";"Product Name";"Цена";"Остаток"
298;"F-00225";"150   ";96
300;"F-00225M";"150   ";120
262;"F-00225X";"150   ";100
388;"F-00226";"150   ";300
389;"F-00226M";"150   ";123
324;"F-00226X";"150   ";85
289;"F-00226XM";"150   ";24
290;"F-00226XX";"150   ";31
406;"F-00227";"150   ";88
437;"F-00228";"150   ";87
351;"F-00228X";"150   ";34
425;"F-00229";"150   ";350
420;"F-00229M";"150   ";170
341;"F-00229X";"150   ";95
443;"F-00230";"150   ";310
438;"F-00230M";"150   ";110
352;"F-00230X";"150   ";71
446;"F-00231";"150   ";210
357;"F-00231X";"150   ";150
452;"F-00232";"150   ";165
360;"F-00232X";"150   ";60
453;"F-00233";"150   ";165
361;"F-00233X";"150   ";58
460;"F-00234";"150   ";173
365;"F-00234X";"150   ";73
374;"F-00236";"150   ";320
319;"F-00236X";"150   ";200
384;"F-00237";"150   ";3
419;"F-00238";"150   ";126
338;"F-00238X";"150   ";310
375;"F-00239";"150   ";146
439;"F-00240";"150   ";93
353;"F-00240X";"150   ";61
594;"F-00241";"150   ";29
595;"F-00241M";"150   ";60
502;"F-00241X";"150   ";66
606;"F-00242";"150   ";167
507;"F-00242X";"150   ";360
367;"F-00242XX";"150   ";17
545;"F-00243";"150   ";67
546;"F-00243M";"150   ";200
478;"F-00243X";"150   ";100
510;"F-00243X1";"150   ";50
407;"F-00243XX";"150   ";88
565;"F-00244";"150   ";60
534;"F-00245";"150   ";229
533;"F-00245M";"150   ";335
572;"F-00246";"150   ";50
493;"F-00246X";"150   ";59
640;"F-00247";"150   ";0
1162;"F-00247A";"150   ";255
601;"F-00247X";"150   ";260
615;"F-00251";"150   ";194
622;"F-00253";"150   ";110
1166;"F-00253A";"150   ";195
582;"F-00253X";"150   ";105
623;"F-00254";"150   ";77
628;"F-00255M";"150   ";75
593;"F-00255X";"150   ";164
655;"F-00256";"150   ";816
693;"F-00257";"150   ";260
682;"F-00258";"150   ";59
707;"F-00259";"150   ";21
708;"F-00259M";"150   ";343
641;"F-00259X";"150   ";51
673;"F-00261";"150   ";121
668;"F-00261M";"150   ";100
610;"F-00261X";"150   ";72
683;"F-00262";"150   ";300
684;"F-00262M";"150   ";31
620;"F-00262X";"150   ";20
727;"F-00263";"150   ";72
728;"F-00264";"150   ";58
758;"F-00265";"150   ";250
723;"F-00265X";"150   ";535
764;"F-00266";"150   ";164
726;"F-00266X";"150   ";125
765;"F-00267";"150   ";21
729;"F-00267X";"150   ";65
822;"F-00268";"150   ";22
821;"F-00268A";"150   ";150
892;"F-00269";"150   ";194
890;"F-00269A";"150   ";238
894;"F-00269M";"150   ";40
802;"F-00269X";"150   ";45
827;"F-00270";"150   ";25
805;"F-00270AX";"150   ";214
823;"F-00270M";"150   ";75
762;"F-00270X";"150   ";250
974;"F-00271";"150   ";63
993;"F-00272";"150   ";300
953;"F-00272X";"150   ";240
994;"F-00273";"150   ";110
954;"F-00273X";"150   ";105
1000;"F-00274";"150   ";300
998;"F-00274M";"150   ";105
956;"F-00274X";"150   ";35
1079;"F-00275";"150   ";365
1046;"F-00275X";"150   ";52
1074;"F-00276";"150   ";256
1044;"F-00276X";"150   ";25
1030;"F-00276XX";"150   ";97
1115;"F-00277";"150   ";340
1113;"F-00277X";"150   ";365
211;"F-00280";"150   ";111
566;"F-00281";"150   ";60
489;"F-00281X";"150   ";125
604;"F-00282";"150   ";106
220;"F-00283";"150   ";300
185;"F-00283X";"150   ";590
203;"F-00284";"150   ";69
182;"F-00284X";"150   ";340
373;"F-00285";"150   ";300
318;"F-00285X";"150   ";355
905;"F-00286";"150   ";242
385;"F-00287";"150   ";253
581;"F-00288";"150   ";149
583;"F-00288M";"150   ";105
497;"F-00288X";"150   ";117
1023;"F-00289";"150   ";184
1014;"F-00289X";"150   ";140
1024;"F-00290";"150   ";192
1015;"F-00290X";"150   ";370
445;"F-00291";"150   ";12
299;"F-00292";"150   ";107
301;"F-00292M";"150   ";120
263;"F-00292X";"150   ";100
596;"F-00293";"150   ";13
503;"F-00293X";"150   ";64
382;"F-00295";"80   ";116
310;"F-00296";"80   ";240
135;"F-00297";"50   ";100
126;"F-00297X";"80   ";50
521;"F-00301";"80   ";84
659;"F-00303";"80   ";140
222;"F-00304";"80   ";29
71;"F-00307";"80   ";300
103;"F-00308";"80   ";196
656;"F-00309";"80   ";64
524;"F-00311";"80   ";108
522;"F-00312";"80   ";95
72;"F-00313";"50   ";363
