"Product SKU","Product Name","Price","Quantity","Product size,Product tip,Product tcs"
"562","F-01046","95","0",""
"560","F-00031","60","555",""
"558","F-01046M","95","205",""
"557","F-00448","95","0",""
"556","F-00126","95","446",""
"555","F-01175","95","532",""
"554","F-00653","95","338",""
"553","F-01222","95","250",""
"552","F-01042","95","244",""
"551","F-00485","95","190",""
"550","F-00467","95","204",""
"549","F-00369","95","193",""
"548","F-00023","95","205",""
"547","F-00844","95","285",""
"546","F-00243M","95","259",""
"545","F-00243","95","161",""
"544","F-00093","95","221",""
"543","F-01166","95","220",""
"542","F-00713","95","219",""
"541","F-00071","95","352",""
"540","F-00721","60","0",""
"539","F-00423","95","89",""
"538","F-00530","60","242",""
"537","F-00107","95","259",""
"536","F-00631","95","150",""
"535","F-00509","95","148",""
"534","F-00245","95","257",""
"533","F-00245M","95","138",""
"532","F-00199","60","267",""
"531","F-00009","60","147",""
"530","F-00696","60","135",""
"529","F-00724","95","244",""
"528","F-00406","95","257",""
"527","F-00135","95","129",""
"526","F-00422","60","186",""
"525","F-00196","60","165",""
"524","F-00311","60","151",""
"523","F-00489","95","231",""
"522","F-00312","60","112",""
"521","F-00301","60","135",""
"520","F-00613","95","122",""
"519","F-00072","95","301",""
"518","F-0000C","120","463",""
"517","F-00911","95","203",""
"516","F-00764","95","205",""
"515","F-00015","95","192",""
"514","F-00038M","95","238",""
"513","F-00038","95","440",""
"512","F-00014M","95","326",""
"511","F-00014","95","162",""
"510","F-00243X1","120","87",""
"509","F-00038X1","120","63",""
"508","F-00014X1","120","92",""
"507","F-00242X","120","72",""
"506","F-00377X","120","29",""
"505","F-00714X","120","72",""
"504","F-00518X","120","68",""
"503","F-00293X","120","72",""
"502","F-00241X","120","60",""
"501","F-00120X","120","136",""
"500","F-00534X","120","83",""
"499","F-00534XA","120","14",""
"498","F-00669X","120","40",""
"497","F-00288X","120","43",""
"496","F-00935X","120","1",""
"495","F-00106X","120","5",""
"494","F-00094X","120","17",""
"493","F-00246X","120","64",""
"492","F-00129X","120","51",""
"491","F-00488X","120","17",""
