"Product SKU","Product Name","Type","Price","Quantity","size","tip"
"383","F-00496","Simple Product","160","50","24*36*7/7.6 ","1РМ"
"382","F-00295","Simple Product","160","80","24*36*7 ","0M"
"381","F-00198","Simple Product","340","245","24*36*7 ","7V2"
"380","F-00078","Simple Product","160","65","24*36*7 ","0M"
"379","F-00738","Simple Product","340","320","24*35/39*9/13.7","6V2"
"378","F-00831","Simple Product","340","207","24*35*8.5 ","7V1"
"377","F-00783","Simple Product","340","167","24*35*8.5 ","7V1"
"376","F-00651","Simple Product","340","189","24*35*8.5 ","7V1"
"375","F-00239","Simple Product","340","87","24*35*12 ","7V1"
"374","F-00236","Simple Product","340","290","24*34*7 ","7V2"
"373","F-00285","Simple Product","340","267","24*34*6","7V2G"
"372","F-00028","Simple Product","160","755","24*33*7","0M"
"371","F-00089","Simple Product","160","529","24*33*5/5.5 ","1РМ"
"370","F-01157","Simple Product","160","169","24*33*5","0M"
"369","F-00332","Simple Product","160","178","24*33*5","0M"
"368","F-00941X","Simple Product","340","345","23.5*50*9","7V1"
"367","F-01596","Simple Product","340","104","23.5*48*8.5","7V1"
"366","F-00599X","Simple Product","340","268","23.5*43*8.5","7V1"
"365","F-00234X","Simple Product","340","70","23.5*43*8.5","7V2"
"364","F-00965X","Simple Product","340","281","23.5*42.5*9/10","7V1PM"
"363","F-00426X","Simple Product","340","38","23.5*42*8.5","7V1"
"362","F-00407X","Simple Product","340","66","23.5*42*8.5","7V1"
"361","F-00233X","Simple Product","340","50","23.5*42*8.5","7V1"
"360","F-00232X","Simple Product","340","49","23.5*42*8.5","7V1"
"359","F-00878X","Simple Product","340","36","23.5*41*8.5 ","7V2"
"358","F-00917X","Simple Product","340","183","23.5*41*8.5","7V1"
"357","F-00231X","Simple Product","340","157","23.5*41*8.5","7V1"
"356","F-01009X","Simple Product","340","74","23.5*40*8","7V1"
"355","F-00983X","Simple Product","340","62","23.5*40*8","7V1"
"354","F-00668X","Simple Product","340","46","23.5*40*8","7V1"
"353","F-00240X","Simple Product","340","42","23.5*40*8","7V1"
"352","F-00230X","Simple Product","340","63","23.5*40*8","7V2"
"351","F-00228X","Simple Product","340","25","23.5*40*8","7V1"
"350","F-01129X","Simple Product","340","155","23.5*39/44*8.5/20.5 ","7V2"
"349","F-00919X","Simple Product","340","148","23.5*39/44*8.5/20.5 ","7V2"
"348","F-00397X","Simple Product","340","374","23.5*39/44*8.5/16","7V2"
"347","F-01092X","Simple Product","340","156","23.5*39*8.5","7V1"
"346","F-00474X","Simple Product","340","142","23.5*39*8.5","7V1"
"345","F-01018X","Simple Product","340","298","23.5*38.5*9/10","7V1PM"
"344","F-01039X","Simple Product","340","70","23.5*38.2*8.5","7V1"
"343","F-00716X","Simple Product","340","57","23.5*38.2*8.5","7V1"
"342","F-00543X","Simple Product","340","66","23.5*38.2*8.5","7V1"
"341","F-00229X","Simple Product","340","66","23.5*38.2*8.5","7V1"
"340","F-00829X","Simple Product","340","169","23.5*38*8","7V1"
"339","F-00612X","Simple Product","340","165","23.5*38*8","7V1"
"338","F-00238X","Simple Product","340","304","23.5*38*12.5","7V1"
"337","F-00933","Simple Product","340","93","23.5*37*8.5","7V1"
"336","F-00830X","Simple Product","340","95","23.5*37*8.5","7V1"
"335","F-00652X","Simple Product","340","96","23.5*37*8.5","7V1"
"334","F-00121X","Simple Product","340","62","23.5*37*8.5","7V1"
"333","F-00095X","Simple Product","340","92","23.5*37*8.5","7V1"
"332","F-00077X","Simple Product","340","360","23.5*37*14.5/20","4A"
"331","F-00601X","Simple Product","340","155","23.5*36/37*8.5/17.7 ","6V2MA"
"330","F-00476X","Simple Product","340","139","23.5*36/37*8.5/17.7 ","6V2MA"
"329","F-00445X","Simple Product","340","329","23.5*36/37*15/17","7V3"
"328","F-00966X","Simple Product","340","323","23.5*36.5*9/10","7V1PM"
"327","F-01021X","Simple Product","340","73","23.5*36.5*8","7V1"
"326","F-00833X","Simple Product","340","84","23.5*36.5*8","7V1"
"325","F-00360X","Simple Product","340","58","23.5*36.5*8","7V1"
"324","F-00226X","Simple Product","340","72","23.5*36.5*8","7V1"
"323","F-00198X","Simple Product","340","287","23.5*36*7","7V1"
"322","F-00831X","Simple Product","340","67","23.5*35*8.5","7V1"
"321","F-00783X","Simple Product","340","65","23.5*35*8.5","7V1"
"320","F-00651X","Simple Product","340","69","23.5*35*8.5","7V1"
"319","F-00236X","Simple Product","340","307","23.5*34*7","7V1"
"318","F-00285X","Simple Product","340","336","23.5*34*6","7V2G"
"317","F-00028X","Simple Product","340","283","23.5*33*7","7V1"
"316","F-00927","Simple Product","160","90","23.5*32.5*5.3/6","1РМ"
"315","F-00820","Simple Product","160","89","23.5*32.5*5.3/6","1РМ"
"314","F-00837","Simple Product","160","72","23.5*32.5*5.3/6","1РМ"
"313","F-00590","Simple Product","160","172","23.3*37.5*5.5","0M"
"312","F-00130","Simple Product","160","611","23.3*30*4/6.7","4V2"
"311","F-00086","Simple Product","160","604","23.3*30*4/6.7","4V2"
"310","F-00296","Simple Product","160","382","23.3*30*4/6.7","4V2"
"309","F-01065","Simple Product","120","143","23.3*29.8*4.5","0M"
"308","F-00758","Simple Product","120","169","23.3*29.8*4.5","0M"
"307","F-00118","Simple Product","120","115","23.3*29.8*4.5","0M"
"306","F-00036","Simple Product","120","142","23.3*29.8*4.5","0M"
"305","F-00032","Simple Product","120","148","23.3*29.8*4.5","0M"
"304","F-00082","Simple Product","120","247","23.3*29.8*1.7/4.5","4V2"
"303","F-00079","Simple Product","340","38","23*48.5*7.5","7V2"
"302","F-00926","Simple Product","340","81","23*41*8.5","7V1"
"301","F-00292M","Simple Product","340","71","23*41*8.5","7V1"
"300","F-00225M","Simple Product","340","102","23*41*8.5","7V1"
"299","F-00292","Simple Product","340","79","23*41*8","7V2"
"298","F-00225","Simple Product","340","60","23*41*8","7V2"
"297","F-00224","Simple Product","340","191","23*40*9","7V2"
"296","F-00090XX","Simple Product","340","158","23*39*8.5","7V2"
"295","F-00499","Simple Product","340","170","23*38*9","7V1"
"294","F-00402","Simple Product","340","159","23*38*9","7V1"
"293","F-00195","Simple Product","160","265","23*38*7","0M"
"292","F-00223","Simple Product","340","78","23*37*8.5","7V2"
"291","F-00360XX","Simple Product","340","82","23*36.5*8.5","7V1"
"290","F-00226XX","Simple Product","340","105","23*36.5*8.5","7V2"
"289","F-00226XM","Simple Product","340","107","23*36.5*8.5","7V1"
"288","F-00916","Simple Product","160","469","23*35*6.5","0M"
"287","F-00194","Simple Product","160","384","23*35*6.5","1РМ"
"286","F-01179M","Simple Product","340","87","23*34.5*8","7V1"
"285","F-00396M","Simple Product","340","86","23*34.5*8","7V1"
"284","F-00024M","Simple Product","340","82","23*34.5*8","7V1"
"283","F-00012M","Simple Product","340","86","23*34.5*8","7V1"
"282","F-01179","Simple Product","300","75","23*34.5*6.5","7V2"
"281","F-00396","Simple Product","300","75","23*34.5*6.5","7V2"
