"Product ID","Product SKU","Product Name","Slug","Permalink","Price","Category","size"
"11654","446620","446620","446620","http://artibaltika/product/446620/","220","Пыльники рулевых реек","12*140*48"
"11653","446610","446610","446610","http://artibaltika/product/446610/","250","Пыльники рулевых реек","12*160*38"
"11652","1525009","1525009","1525009","http://artibaltika/product/1525009/","370","Пыльники рулевых реек","16.5*188*58"
"11651","446710","446710","446710","http://artibaltika/product/446710/","190","Пыльники рулевых реек","12*175*50"
"11649","T491200","T491200","t491200","http://artibaltika/product/t491200/","300","Пыльники рулевых реек","13*205*54"
"11648","T491000","T491000","t491000","http://artibaltika/product/t491000/","300","Пыльники рулевых реек","17.5*255*63"
"11647","T488710","T488710","t488710","http://artibaltika/product/t488710/","390","Пыльники рулевых реек","44*115*42"
"11645","T489510","T489510","t489510","http://artibaltika/product/t489510/","350","Пыльники рулевых реек","14*187*47"
"11634","T488610","T488610","t488610","http://artibaltika/product/t488610/","240","Пыльники рулевых реек","14*213*64"
"11633","445020","445020","445020","http://artibaltika/product/445020/","240","Пыльники рулевых реек","55*128*55"
"11631","T485810","T485810","485810","http://artibaltika/product/485810/","390","Пыльники рулевых реек","21*254*64"
"11630","464810","464810","464810","http://artibaltika/product/464810/","370","Пыльники рулевых реек","11*208*42"
"11629","T464710","T464710","t464710","http://artibaltika/product/t464710/","190","Пыльники рулевых реек","13*166*49"
"11628","481010","481010","481010","http://artibaltika/product/481010/","220","Пыльники рулевых реек","25*126*54"
"11627","T484910","T484910","t484910","http://artibaltika/product/t484910/","350","Пыльники рулевых реек","16.5*171*54.5"
"11625","T485110","T485110","t485110","http://artibaltika/product/t485110/","330","Пыльники рулевых реек","15*188*49"
"11624","T485010","T485010","t485010","http://artibaltika/product/t485010/","420","Пыльники рулевых реек","13*182*52.5"
"11623","T485210","T485210","t485210","http://artibaltika/product/t485210/","330","Пыльники рулевых реек","14.5*213*50"
"11621","T485410","T485410","t485410","http://artibaltika/product/t485410/","330","Пыльники рулевых реек","15*172*50"
"11606","RK8278","RK8278","rk8278","http://artibaltika/product/rk8278/","1200","Ремкомплекты рулевых реек","VW Jetta"
"11564","RK8277","RK8277","rk8277","http://artibaltika/product/rk8277/","1200","Ремкомплекты рулевых реек","VW Crafter"
"11561","RK8276","RK8276","rk8276","http://artibaltika/product/rk8276/","1300","Ремкомплекты рулевых реек","VW Polo (TRW) 23mm"
"11560","RK8275","RK8275","rk8275","http://artibaltika/product/rk8275/","1200","Ремкомплекты рулевых реек","VW Polo (KOYO) 24mm"
"11557","RK8274","RK8274","rk8274","http://artibaltika/product/rk8274/","1300","Ремкомплекты рулевых реек","VW Polo"
"11556","RK8273","RK8273","rk8273","http://artibaltika/product/rk8273/","1300","Ремкомплекты рулевых реек","VW Passat  B5"
