"Order Items: Product ID","Order Items: Variation ID","Order Items: SKU","Order Items: Product Name","Order Items: Quantity","Order Items: Total"
"3143","","558","F-00031","10","600"
"3314","","729","F-00267X","6","540"
"3252","","667","F-00206","10","600"
"3211","","626","F-00255","6","540"
"3326","","741","F-00408","5","300"
"3327","","742","F-00811","5","300"
"3325","","740","F-00101","5","300"
"3372","","787","F-00026X","6","720"
"3499","","914","F-00358X","5","600"
"3393","","808","F-00133","8","720"
"3833","","1107","F-00451","6","540"
"3823","","1097","F-00451X","4","480"
"3662","","1077","F-00902","4","360"
"3326","","741","F-00408","5","300.00"
"3044","","459","F-00234","6","540.00"
"2765","","180","F-00284X","5","600"
"2786","","201","F-00284","10","900"
"2826","","241","F-00513","10","900"
"3162","","577","F-00106","20","1800"
"3163","","578","F-00935","10","900"
"3164","","579","F-00288","10","900"
"3166","","581","F-00288M","10","900"
"2827","","242","F-00123","10","900"
"2796","","211","F-00497","10","900"
"2767","","182","F-00497X","5","600"
"3481","","896","F-01023","20","1800"
"3390","","805","F-01023X","5","600"
"3415","","830","F-00940","10","900"
"2734","","149","F-00562","10","600"
"2740","","155","F-00186A","5","300"
"2804","","219","F-01010","10","600"
"2877","","292","F-00402","10","900"
"3022","","437","F-00230M","15","1350"
"3120","","535","F-00530","10","600"
"3162","","577","F-00106","6","540"
"3177","","592","F-00241","10","900"
"3190","","605","F-00826XX","10","1200"
"3238","","653","F-00520","5","300"
"3265","","680","F-00380","10","900"
"3268","","683","F-00262","10","900"
"3291","","706","F-00544A","6","540"
"3307","","722","F-00839X","10","1200"
"3376","","791","F-00754X","30","3600"
"3555","","970","F-00539M","10","900"
"3571","","986","F-00587XX","5","600"
"3592","","1007","F-00622","15","1350"
"2720","","135","F-00663","80","2400"
"3438","","853","F-00026","5","300"
"2722","","137","F-00887","15","450"
"3660","","1075","F-00275","6","540"
"3655","","1070","F-00276","2","180"
"3183","","598","F-00377","4","360"
"3250","","665","F-00389","4","240"
"3038","","453","F-00407","10","900"
"3103","","518","F-00489","30","2700"
"3285","","700","F-00544","4","360"
"3001","","416","F-00612","4","360"
"3477","","892","F-00709","4","360"
"2961","","376","F-00783","4","360"
"3130","","545","F-00844","5","450"
"2885","","300","F-00926","5","450"
"3304","","719","F-00826","6","540"
"2659","","74","F-00993","4","120"
"2960","","375","F-00831","2","180"
"3007","","422","F-00229","2","180"
"3022","","437","F-00668","8","720"
"3030","","445","F-00515M","3","270"
"3042","","457","F-00234","2","180"
"3180","","595","F-00377","4","360"
"3166","","581","F-00534","2","180"
"3168","","583","F-00411","2","180"
"3216","","631","F-00501X","2","240"
"3284","","699","F-01138","6","540"
"3249","","664","F-00261M","4","360"
"3824","","1098","F-01062M","4","360"
"3826","","1100","F-00988","2","180"
"3006","","421","F-01039","2","180"
"2685","","100","F-00184","2","120"
"2784","","199","F-00027","2","120"
"2812","","227","F-00494","2","180"
"2848","","263","F-00019","2","120"
"2869","","284","F-00194","2","120"
"2889","","304","F-00118","2","120"
"2964","","379","F-00295","2","120"
"2969","","384","F-01021","2","180"
"3032","","447","F-00878M","2","180"
"3036","","451","F-00407","2","180"
"3110","","525","F-00724","2","180"
"3147","","562","F-00281","2","180"
"3164","","579","F-00288M","2","180"
"3322","","737","F-00408","2","120"
"3348","","763","F-01029","2","180"
"3450","","865","F-00754","4","360"
"3547","","962","F-00537","1","90"
"3828","","1102","F-01139","2","240.00"
"3559","","974","F-00593","5","450"
"3128","","543","F-00844","10","900"
"2716","","131","F-00063","10","300"
"2678","","93","F-00011","10","300"
"2893","","308","F-00086","5","300"
"2747","","162","F-00109","5","300"
"2665","","80","F-00114","10","300"
"3021","","436","F-00240","3","270"
"3444","","859","F-00378","5","450"
"3553","","968","F-00417","2","180"
"3280","","695","F-00501","3","270"
"3639","","1054","F-00569","4","360"
