"Order Items: Product Name","Order Items: Quantity","Order Items: Type","size"
"F-00228","3","Product",""
"F-00246","2","Product",""
"F-00395","3","Product",""
"F-00426","2","Product",""
"F-00444","2","Product",""
"F-00448","2","Product",""
"F-00484","2","Product",""
"F-00585","2","Product",""
"F-00668","3","Product",""
"F-00678","3","Product",""
"F-00713","3","Product",""
"F-00727","2","Product",""
"F-00740","4","Product",""
"F-00779","2","Product",""
"F-00812","2","Product",""
"F-00813","2","Product",""
"F-00871","2","Product",""
"F-00872","3","Product",""
"F-00930","3","Product",""
"F-00950","2","Product",""
"F-00063","10","Product",""
"F-00063X","3","Product",""
"F-00114","10","Product",""
"F-00114X","2","Product",""
"F-00206","7","Product",""
"F-00243X1","2","Product",""
"F-00539X","3","Product",""
"F-00758","5","Product",""
"F-00783X","3","Product",""
"F-00919","2","Product",""
"F-00919X","2","Product",""
"F-01002","3","Product",""
"F-01175","4","Product",""
"F-01039X","3","Product",""
"F-01050X","2","Product",""
"F-00014X1","4","Product",""
"F-00588","2","Product",""
"F-00588X","2","Product",""
"F-00587M","3","Product",""
"F-00587X","2","Product",""
"F-00982","4","Product",""
"F-00519","4","Product",""
"F-00484X","4","Product",""
"F-00779X","4","Product",""
"F-01072X","4","Product",""
"F-01140","10","Product",""
"F-00993X","5","Product",""
"F-00779","20","Product",""
"F-00184","20","Product",""
"F-00782","5","Product",""
"F-00895","5","Product",""
"F-00529","5","Product",""
"F-00868","5","Product",""
"F-00887X","5","Product",""
"F-00138","2","Product",""
"F-00887","5","Product",""
"F-00659","10","Product",""
"F-00032","10","Product",""
"F-01158","10","Product",""
"F-00228X","6","Product",""
"F-00233X","6","Product",""
"F-00031","10","Product",""
"F-00267X","6","Product",""
"F-00206","10","Product",""
"F-00255","6","Product",""
"F-00408","5","Product",""
"F-00811","5","Product",""
"F-00101","5","Product",""
"F-00026X","6","Product",""
"F-00358X","5","Product",""
"F-00133","8","Product",""
"F-00451","6","Product",""
"F-00451X","4","Product",""
"F-00902","4","Product",""
"F-00408","5","Product",""
"F-00234","6","Product",""
"F-00284X","5","Product",""
"F-00284","10","Product",""
"F-00513","10","Product",""
"F-00106","20","Product",""
"F-00935","10","Product",""
"F-00288","10","Product",""
"F-00288M","10","Product",""
"F-00123","10","Product",""
"F-00497","10","Product",""
"F-00497X","5","Product",""
"F-01023","20","Product",""
"F-01023X","5","Product",""
"F-00940","10","Product",""
"F-00562","10","Product",""
"F-00186A","5","Product",""
"F-01010","10","Product",""
"F-00402","10","Product",""
"F-00230M","15","Product",""
"F-00530","10","Product",""
"F-00106","6","Product",""
"F-00241","10","Product",""
"F-00826XX","10","Product",""
"F-00520","5","Product",""
"F-00380","10","Product",""
"F-00262","10","Product",""
"F-00544A","6","Product",""
"F-00839X","10","Product",""
"F-00754X","30","Product",""
"F-00539M","10","Product",""
"F-00587XX","5","Product",""
"F-00622","15","Product",""
"F-00663","80","Product",""
"F-00026","5","Product",""
"F-00887","15","Product",""
"F-00275","6","Product",""
"F-00276","2","Product",""
"F-00377","4","Product",""
"F-00389","4","Product",""
"F-00407","10","Product",""
"F-00489","30","Product",""
"F-00544","4","Product",""
"F-00612","4","Product",""
"F-00709","4","Product",""
"F-00783","4","Product",""
"F-00844","5","Product",""
"F-00926","5","Product",""
"F-00826","6","Product",""
"F-00993","4","Product",""
"F-00831","2","Product",""
"F-00229","2","Product",""
"F-00668","8","Product",""
"F-00515M","3","Product",""
"F-00234","2","Product",""
"F-00377","4","Product",""
"F-00534","2","Product",""
"F-00411","2","Product",""
"F-00501X","2","Product",""
"F-01138","6","Product",""
"F-00261M","4","Product",""
"F-01062M","4","Product",""
"F-00988","2","Product",""
"F-01039","2","Product",""
"F-00184","2","Product",""
"F-00027","2","Product",""
"F-00494","2","Product",""
"F-00019","2","Product",""
"F-00194","2","Product",""
"F-00118","2","Product",""
"F-00295","2","Product",""
"F-01021","2","Product",""
"F-00878M","2","Product",""
"F-00407","2","Product",""
"F-00724","2","Product",""
"F-00281","2","Product",""
"F-00288M","2","Product",""
"F-00408","2","Product",""
"F-01029","2","Product",""
"F-00754","4","Product",""
"F-00537","1","Product",""
"F-01139","2","Product",""
"F-00593","5","Product",""
"F-00844","10","Product",""
"F-00063","10","Product",""
"F-00011","10","Product",""
"F-00086","5","Product",""
"F-00109","5","Product",""
"F-00114","10","Product",""
"F-00240","3","Product",""
"F-00378","5","Product",""
"F-00417","2","Product",""
"F-00501","3","Product",""
"F-00569","4","Product",""
"F-00758","5","Product",""
"F-00484","5","Product",""
"F-00765","5","Product",""
"F-00403","10","Product",""
"F-00886","10","Product",""
"F-00368","10","Product",""
"F-00531","10","Product",""
"F-00396XX","10","Product",""
"F-00441","20","Product",""
"F-01179M","10","Product",""
"F-00783","20","Product",""
"F-00652","20","Product",""
"F-00238","20","Product",""
"F-00764","10","Product",""
"F-00653","20","Product",""
"F-00031","10","Product",""
"F-00141","10","Product",""
"F-01138","10","Product",""
"F-00101","10","Product",""
"F-00765","10","Product",""
"F-00128","10","Product",""
"F-00980","10","Product",""
"F-01066","5","Product",""
"F-00737","10","Product",""
"F-00444M","10","Product",""
"F-00028X","5","Product",""
"F-01158","5","Product",""
"F-00488","5","Product",""
"F-00604","2","Product",""
"F-00724","5","Product",""
"F-00411","5","Product",""
"F-00371M","5","Product",""
"F-00375","5","Product",""
"F-00729","5","Product",""
"F-00800","5","Product",""
"F-01069","5","Product",""
"F-00839X","5","Product",""
"F-00986X","5","Product",""
"F-01176","5","Product",""
"F-00698X","4","Product",""
"F-00624X","3","Product",""
"F-00825","2","Product",""
"F-00380","5","Product",""
"F-01019","3","Product",""
"F-00022","4","Product",""
"F-00600","8","Product",""
"F-00479","10","Product",""
"F-00887","20","Product",""
"F-00206","6","Product",""
"F-00484","4","Product",""
"F-00539M","4","Product",""
"F-00243M","4","Product",""
"F-00902X","5","Product",""
"F-00589A","4","Product",""
"F-00754","3","Product",""
"F-01105","4","Product",""
"F-00887","4","Product",""
"F-01065","4","Product",""
"F-00233X","4","Product",""
"F-00965X","4","Product",""
"F-00095M","4","Product",""
"F-00014X","4","Product",""
"F-00048","4","Product",""
"F-00783","4","Product",""
"F-00231","4","Product",""
"F-00253X","4","Product",""
"F-01175","4","Product",""
"F-00126","4","Product",""
"F-00243M","4","Product",""
"F-00199","4","Product",""
"F-00262M","4","Product",""
"F-00378","4","Product",""
"F-00589A","4","Product",""
"F-01039","10","Product",""
"F-00592","20","Product",""
"F-00988","20","Product",""
"F-00988X","6","Product",""
"F-00387","5","Product",""
"F-00814","10","Product",""
"F-00814X","10","Product",""
"F-00923","20","Product",""
"F-00923X","5","Product",""
"F-00749","10","Product",""
"F-00749Х","6","Product",""
"F-00706","6","Product",""
"F-00706X","2","Product",""
"F-00678","4","Product",""
"F-00678X","2","Product",""
"F-00195","10","Product",""
"F-00062M","10","Product",""
"F-00062X","6","Product",""
"F-01052","20","Product",""
"F-00265","5","Product",""
"F-00265X","5","Product",""
"F-00267","5","Product",""
"F-00267X","5","Product",""
"F-00813X","6","Product",""
"F-00729","5","Product",""
"F-00451","10","Product",""
"F-00451X","4","Product",""
"F-00960","20","Product",""
"F-00561X","4","Product",""
"F-00657","4","Product",""
"F-00136","4","Product",""
"F-00459","6","Product",""
"F-00403","10","Product",""
"F-00403X","5","Product",""
"F-00063","5","Product",""
"F-00063X","5","Product",""
"F-00820","5","Product",""
"F-00837","5","Product",""
"F-00927","5","Product",""
"F-00783","10","Product",""
"F-00407","20","Product",""
"F-00234","4","Product",""
"F-00234X","2","Product",""
"F-00714X","4","Product",""
"F-00448","6","Product",""
"F-00448X","2","Product",""
"F-00281","6","Product",""
"F-00281X","2","Product",""
"F-00094M","4","Product",""
"F-00524X","4","Product",""
"F-00106","4","Product",""
"F-00106X","2","Product",""
"F-00293","4","Product",""
"F-00293X","2","Product",""
"F-00930","6","Product",""
"F-00930X","2","Product",""
"F-00101","5","Product",""
"F-00408","5","Product",""
"F-00265","4","Product",""
"F-00265X","2","Product",""
"F-00872X","2","Product",""
"F-00671","4","Product",""
"F-01054","2","Product",""
"F-00986","2","Product",""
"F-00752XX","4","Product",""
"F-00825","2","Product",""
"F-00270AX","2","Product",""
